ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Ghana,2020-03-28T00:00:00.000Z,137,4,46554,-1.20704619,7.95964382,Ghana,加纳,Ghana,Ghana,Гана,غانا
Senegal,2020-03-28T00:00:00.000Z,130,0,46555,-14.46817708,14.36697954,Senegal,塞内加尔,Sénégal,Senegal,Сенегал,السنغال
Mauritius,2020-03-28T00:00:00.000Z,102,2,46556,57.868476,-20.1700678,Mauritius,毛里求斯,Maurice,Mauricio,Маврикий,موريشيوس
Cameroon,2020-03-28T00:00:00.000Z,91,2,46557,12.7432535,5.68580436,Cameroon,喀麦隆,Cameroun,Camerún,Камерун,الكاميرون
Democratic Republic of the Congo,2020-03-28T00:00:00.000Z,68,6,46558,23.65431545,-2.87622576,Democratic Republic of the Congo,刚果民主共和国,République démocratique du Congo,República Democrática del Congo,Демократическая Республика Конго,جمهورية الكونغو الديمقراطية 
Nigeria,2020-03-28T00:00:00.000Z,65,1,46559,8.10527726,9.59360399,Nigeria,尼日利亚,Nigéria,Nigeria,Нигерия,نيجيريا
Rwanda,2020-03-28T00:00:00.000Z,60,0,46560,29.91720553,-1.99796798,Rwanda,卢旺达,Rwanda,Rwanda,Руанда,رواندا
Mayotte,2020-03-28T00:00:00.000Z,50,0,46561,45.13926174,-12.81835006,Mayotte,"马约特岛
",,,,
Madagascar,2020-03-28T00:00:00.000Z,37,0,46562,46.70599248,-19.37352133,Madagascar,马达加斯加,Madagascar,Madagascar,Мадагаскар,مدغشقر
Uganda,2020-03-28T00:00:00.000Z,30,0,46563,32.38622999,1.28008463,Uganda,乌干达,Ouganda,Uganda,Уганда,أوغندا
Togo,2020-03-28T00:00:00.000Z,29,1,46564,0.97584596,8.53491037,Togo,多哥,Togo,Togo (el),Того,توغو
Kenya,2020-03-28T00:00:00.000Z,25,1,46565,37.85786442,0.52978018,Kenya,肯尼亚,Kenya,Kenya,Кения,كينيا
Congo,2020-03-28T00:00:00.000Z,19,0,46566,15.22427459,-0.84006603,Congo,刚果,Congo,Congo (el),Конго,الكونغو
Mali,2020-03-28T00:00:00.000Z,18,0,46567,-3.52433672,17.35036933,Mali,马里,Mali,Malí,Мали,مالي
Ethiopia,2020-03-28T00:00:00.000Z,16,0,46568,39.61601894,8.62613927,Ethiopia,埃塞俄比亚,Éthiopie,Etiopía,Эфиопия,إثيوبيا
Zambia,2020-03-28T00:00:00.000Z,16,0,46569,27.79788004,-13.45307543,Zambia,赞比亚,Zambie,Zambia,Замбия,زامبيا
United Republic of Tanzania,2020-03-28T00:00:00.000Z,14,0,46570,34.82340201,-6.27019905,United Republic of Tanzania,坦桑尼亚联合共和国,République-Unie de Tanzanie,República Unida de Tanzanía,Объединенная Республика Танзания,جمهورية تنزانيا المتحدة
